scanner,tag,strength,timestamp,zone
202481586687629,10,-63,1551409424757930098,1208
202481590274456,10,-93,1551409424857452780,1208
202481592285809,10,-62,1551409424858043097,1208
202481592814994,10,-79,1551409424858193077,1208
202481594821872,10,-83,1551409424957343954,1208
202481602084751,10,-80,1551409424957469148,1208
202481594469276,10,-75,1551409424957719064,1208
202481592757237,10,-87,1551409424957822533,1208
202481586283485,10,-77,1551409424957905271,1208
202481592757237,10,-86,1551409425057988084,1208
202481594609210,10,-69,1551409425058015256,1208
202481592285809,10,-63,1551409425058164753,1208
202481602084751,10,-89,1551409425058342249,1208
202481594609210,10,-71,1551409425157778670,1208
202481590274456,10,-57,1551409425157892939,1208
202481601426033,10,-83,1551409425158103787,1208
202481592814994,10,-61,1551409425158278780,1208
202481599414040,10,-52,1551409425158295309,1208
202481602084751,10,-88,1551409425158320831,1208
202481590274456,10,-58,1551409425257551701,1208
202481594609210,10,-69,1551409425257888351,1208
202481592285809,10,-56,1551409425257957295,1208
202481592814994,10,-68,1551409425258289103,1208
202481602084751,10,-85,1551409425357298000,1208
202481592285809,10,-60,1551409425357452485,1208
202481599414040,10,-65,1551409425357467988,1208
202481592757237,10,-92,1551409425357690305,1208
202481590274456,10,-57,1551409425357740301,1208
202481590805393,10,-92,1551409425357834999,1208
202481597435935,10,-93,1551409425357850181,1208
202481594609210,10,-66,1551409425358176000,1208
202481594345615,10,-82,1551409425358272041,1208
202481601426033,10,-86,1551409425358369744,1208
202481594821872,10,-87,1551409425457862189,1208
202481594469276,10,-82,1551409425457897917,1208
202481590274456,10,-83,1551409425457941501,1208
202481592285809,10,-66,1551409425458308584,1208
202481594609210,10,-65,1551409425557423650,1208
202481592285809,10,-82,1551409425557666497,1208
202481590274456,10,-75,1551409425557683851,1208
202481599414040,10,-74,1551409425558252342,1208
202481586687629,10,-71,1551409425657343381,1208
202481594469276,10,-73,1551409425657425318,1208
202481594361561,10,-88,1551409425657575422,1208
202481589823194,10,-83,1551409425657865599,1208
202481594609210,10,-71,1551409425657967265,1208
202481592285809,10,-64,1551409425658041599,1208
202481586283485,10,-83,1551409425658112971,1208
202481592757237,10,-84,1551409425658151512,1208
202481594345615,10,-80,1551409425658235453,1208
202481594609210,10,-69,1551409425757295756,1208
202481592285809,10,-48,1551409425757459182,1208
202481601426033,10,-89,1551409425757487236,1208
202481592814994,10,-69,1551409425757634446,1208
202481599414040,10,-59,1551409425757664306,1208
202481592285809,10,-81,1551409425857585744,1208
202481599414040,10,-68,1551409425857809814,1208
202481594609210,10,-80,1551409425857815013,1208
202481592757237,10,-84,1551409425957571927,1208
202481586283485,10,-81,1551409425957688862,1208
202481602084751,10,-77,1551409425957798212,1208
202481592285809,10,-65,1551409425958081684,1208
202481590274456,10,-66,1551409425958334087,1208
202481592757237,10,-84,1551409426057520586,1208
202481592285809,10,-85,1551409426057725143,1208
202481594469276,10,-90,1551409426057970042,1208
202481599414040,10,-53,1551409426058020649,1208
202481586687629,10,-78,1551409426058248297,1208
202481586283485,10,-77,1551409426058377443,1208
202481599414040,10,-57,1551409426157562798,1208
202481592285809,10,-66,1551409426157591824,1208
202481594609210,10,-69,1551409426157795881,1208
202481592814994,10,-83,1551409426157807044,1208
202481590274456,10,-75,1551409426158106957,1208
202481592285809,10,-67,1551409426258212187,1208
202481590274456,10,-66,1551409426357563421,1208
202481592285809,10,-71,1551409426357753243,1208
202481592757237,10,-90,1551409426357936886,1208
202481594821872,10,-86,1551409426358358428,1208
202481586283485,10,-84,1551409426457380586,1208
202481590274456,10,-90,1551409426457596623,1208
202481586687629,10,-85,1551409426458009785,1208
202481592285809,10,-69,1551409426458259601,1208
202481589823194,10,-84,1551409426458319744,1208
202481592814994,10,-74,1551409426458360458,1208
202481599414040,10,-56,1551409426557623684,1208
202481592285809,10,-60,1551409426557783838,1208
202481590274456,10,-71,1551409426558314608,1208
202481590274456,10,-75,1551409426658062601,1208
202481592814994,10,-86,1551409426658072580,1208
202481592285809,10,-64,1551409426658121274,1208
202481594609210,10,-67,1551409426757320578,1208
202481602084751,10,-93,1551409426757633403,1208
202481589823194,10,-88,1551409426757698626,1208
202481586687629,10,-69,1551409426757775070,1208
202481594469276,10,-76,1551409426757883319,1208
202481599414040,10,-45,1551409426758149687,1208
202481586283485,10,-85,1551409426758180368,1208
202481594345615,10,-80,1551409426758204934,1208
202481594821872,10,-85,1551409426758219611,1208
202481590274456,10,-62,1551409426857506407,1208
202481590956569,10,-76,1551409426857740450,1208
202481592285809,10,-67,1551409426857914767,1208
202481599414040,10,-55,1551409426857953333,1208
202481597435935,10,-91,1551409426857987884,1208
202481592814994,10,-78,1551409426858257991,1208
202481586687629,10,-81,1551409426858292942,1208
202481590274456,10,-78,1551409426957663689,1208
202481592285809,10,-64,1551409426957693380,1208
202481599414040,10,-71,1551409426957764600,1208
202481594609210,10,-74,1551409426958374840,1208
202481594609210,10,-78,1551409427057782871,1208
202481586283485,10,-92,1551409427057932330,1208
202481592814994,10,-74,1551409427157818496,1208
202481599414040,10,-60,1551409427157935624,1208
202481594609210,10,-67,1551409427158112293,1208
202481586687629,10,-77,1551409427257285303,1208
202481594609210,10,-67,1551409427257314395,1208
202481590274456,10,-69,1551409427257343501,1208
202481592285809,10,-71,1551409427257478847,1208
202481601426033,10,-79,1551409427257831081,1208
